Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Devin Harris,PG,35,DAL,68,2,15.8,1.9,5.1,.380,0.9,2.9,.310,1.0,2.2,.476,.470,1.5,2.0,.761,0.2,1.5,1.6,1.8,0.5,0.2,0.8,2.0,6.3
Andrew Harrison,PG,24,TOT,17,0,11.0,0.9,3.1,.302,0.3,1.5,.200,0.6,1.6,.393,.349,1.0,1.1,.944,0.4,0.8,1.2,1.4,0.2,0.1,0.7,2.0,3.2
Andrew Harrison,PG,24,MEM,1,0,5.0,1.0,2.0,.500,0.0,1.0,.000,1.0,1.0,1.000,.500,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
Andrew Harrison,PG,24,CLE,10,0,14.4,1.2,3.9,.308,0.3,1.4,.214,0.9,2.5,.360,.346,1.6,1.6,1.000,0.4,1.1,1.5,1.7,0.4,0.2,1.0,2.6,4.3
Andrew Harrison,PG,24,NOP,6,0,6.3,0.5,2.0,.250,0.3,1.7,.200,0.2,0.3,.500,.333,0.2,0.3,.500,0.3,0.5,0.8,1.2,0.0,0.0,0.3,1.2,1.5
George Hill,PG,32,TOT,60,13,21.7,2.8,6.3,.452,0.8,2.6,.314,2.0,3.7,.547,.516,1.2,1.4,.824,0.7,1.8,2.5,2.3,0.9,0.1,0.9,1.7,7.6
George Hill,PG,32,CLE,13,13,26.5,4.2,8.2,.514,1.0,2.2,.464,3.2,6.1,.532,.575,1.3,1.5,.850,0.9,1.2,2.1,2.8,0.9,0.1,1.5,2.7,10.8
George Hill,PG,32,MIL,47,0,20.4,2.4,5.7,.428,0.7,2.7,.280,1.7,3.1,.556,.493,1.1,1.4,.815,0.6,2.0,2.6,2.1,0.9,0.1,0.7,1.4,6.8
Aaron Holiday,PG,22,IND,50,0,12.9,2.1,5.2,.401,0.9,2.5,.339,1.2,2.7,.459,.483,0.8,1.0,.820,0.1,1.2,1.3,1.7,0.4,0.3,0.8,1.4,5.9
Kyrie Irving,PG,26,BOS,67,67,33.0,9.0,18.5,.487,2.6,6.5,.401,6.4,12.0,.533,.557,3.2,3.7,.873,1.1,3.9,5.0,6.9,1.5,0.5,2.6,2.5,23.8
Demetrius Jackson,PG,24,PHI,6,0,6.5,1.3,2.5,.533,0.3,1.0,.333,1.0,1.5,.667,.600,0.7,0.7,1.000,0.3,0.2,0.5,0.8,0.3,0.0,0.2,0.7,3.7
Frank Jackson,PG,20,NOP,61,16,19.2,3.2,7.3,.434,0.9,2.8,.314,2.3,4.6,.507,.493,0.9,1.2,.740,0.4,1.8,2.2,1.1,0.4,0.0,0.8,1.5,8.1
Reggie Jackson,PG,28,DET,82,82,27.9,5.4,12.8,.421,2.1,5.7,.369,3.3,7.0,.464,.504,2.5,2.9,.864,0.5,2.1,2.6,4.2,0.7,0.1,1.8,2.5,15.4
Tyler Johnson,PG,26,TOT,57,22,26.8,3.8,9.2,.413,1.6,4.6,.346,2.2,4.7,.477,.498,1.7,2.2,.748,0.6,2.4,3.0,2.9,0.9,0.5,1.4,1.7,10.9
Tyler Johnson,PG,26,MIA,44,10,25.5,3.9,9.1,.426,1.6,4.6,.353,2.3,4.5,.503,.516,1.4,2.0,.693,0.4,2.3,2.8,2.5,0.9,0.5,1.4,1.6,10.8
Tyler Johnson,PG,26,PHO,13,12,31.2,3.5,9.6,.368,1.4,4.3,.321,2.2,5.3,.406,.440,2.6,3.0,.872,1.2,2.8,4.0,4.2,1.1,0.5,1.1,1.9,11.1
Tyus Jones,PG,22,MIN,68,23,22.9,2.7,6.6,.415,0.6,1.9,.317,2.1,4.7,.453,.460,0.9,1.0,.841,0.3,1.6,2.0,4.8,1.2,0.1,0.7,1.1,6.9
Cory Joseph,PG,27,IND,82,9,25.2,2.8,6.7,.412,0.7,2.1,.322,2.1,4.6,.454,.463,0.4,0.5,.698,0.5,2.9,3.4,3.9,1.1,0.3,1.0,1.6,6.5
Brandon Knight,PG,27,TOT,39,26,18.9,2.5,6.7,.381,1.1,3.3,.318,1.5,3.4,.443,.460,0.7,0.9,.794,0.3,1.3,1.5,1.8,0.5,0.1,0.8,1.6,6.8
Brandon Knight,PG,27,HOU,12,0,9.8,0.9,3.9,.234,0.4,2.7,.156,0.5,1.3,.400,.287,0.8,0.9,.818,0.1,0.7,0.8,0.8,0.2,0.0,0.4,1.2,3.0
Brandon Knight,PG,27,CLE,27,26,22.9,3.3,7.9,.413,1.3,3.6,.371,1.9,4.3,.448,.498,0.7,0.9,.783,0.3,1.5,1.9,2.3,0.7,0.1,0.9,1.8,8.5
Walt Lemon Jr.,PG,26,CHI,6,3,27.8,6.3,14.5,.437,0.3,0.8,.400,6.0,13.7,.439,.448,1.3,1.8,.727,0.7,3.8,4.5,5.0,1.8,0.2,1.7,2.3,14.3
Damian Lillard,PG,28,POR,80,80,35.5,8.5,19.2,.444,3.0,8.0,.369,5.6,11.1,.499,.522,5.9,6.4,.912,0.9,3.8,4.6,6.9,1.1,0.4,2.7,1.9,25.8
Jeremy Lin,PG,30,TOT,74,4,19.4,3.2,7.3,.440,0.7,2.5,.294,2.5,4.8,.517,.491,2.4,2.8,.838,0.3,2.1,2.4,3.1,0.6,0.2,1.7,1.9,9.6
Jeremy Lin,PG,30,ATL,51,1,19.7,3.5,7.6,.466,0.9,2.6,.333,2.7,5.0,.535,.523,2.8,3.3,.845,0.3,2.0,2.3,3.5,0.7,0.1,1.9,1.9,10.7
Jeremy Lin,PG,30,TOR,23,3,18.8,2.5,6.7,.374,0.5,2.4,.200,2.0,4.3,.470,.410,1.5,1.8,.810,0.3,2.3,2.6,2.2,0.4,0.3,1.1,2.1,7.0
Shaun Livingston,PG,33,GSW,64,0,15.1,1.7,3.3,.519,0.0,0.0,.000,1.7,3.3,.524,.519,0.6,0.8,.784,0.7,1.2,1.8,1.8,0.5,0.4,0.6,1.2,4.0
Kyle Lowry,PG,32,TOR,65,65,34.0,4.7,11.4,.411,2.4,7.0,.347,2.3,4.4,.514,.518,2.5,3.0,.830,0.6,4.2,4.8,8.7,1.4,0.5,2.8,2.6,14.2
Jordan Loyd,PG,25,TOR,12,0,4.6,0.7,1.5,.444,0.3,0.7,.500,0.3,0.8,.400,.556,0.8,0.9,.818,0.1,0.7,0.8,0.5,0.0,0.0,0.2,0.4,2.4
Kalin Lucas,PG,29,DET,1,0,6.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,0,.000,2.0,2.0,1.000,0.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,2.0
Scott Machado,PG,28,LAL,4,0,4.8,1.0,1.5,.667,0.3,0.3,1.000,0.8,1.3,.600,.750,0.3,0.3,1.000,0.0,0.0,0.0,0.8,0.3,0.0,0.0,0.5,2.5
Shelvin Mack,PG,28,TOT,57,3,21.9,2.9,7.1,.404,0.8,2.3,.354,2.1,4.8,.429,.462,1.0,1.5,.690,0.3,1.5,1.8,3.2,0.8,0.1,1.2,1.5,7.5
Shelvin Mack,PG,28,MEM,53,3,22.7,3.0,7.3,.414,0.9,2.4,.359,2.2,4.9,.441,.473,1.0,1.4,.707,0.3,1.6,1.9,3.4,0.8,0.1,1.2,1.5,7.9
Shelvin Mack,PG,28,CHO,4,0,10.5,0.5,3.5,.143,0.0,0.5,.000,0.5,3.0,.167,.143,1.3,2.3,.556,0.0,0.5,0.5,0.3,0.5,0.0,1.0,0.8,2.3
Frank Mason III,PG,24,SAC,38,0,11.4,1.9,4.4,.420,0.4,1.7,.219,1.5,2.8,.543,.462,1.0,1.5,.684,0.2,1.0,1.1,2.2,0.4,0.1,0.9,0.9,5.1
T.J. McConnell,PG,26,PHI,76,3,19.3,2.9,5.5,.525,0.2,0.6,.333,2.7,5.0,.546,.542,0.4,0.5,.784,0.4,1.9,2.3,3.4,1.0,0.2,1.2,1.4,6.4
De'Anthony Melton,PG,20,PHO,50,31,19.7,2.0,5.1,.391,0.6,1.9,.305,1.4,3.2,.441,.447,0.4,0.6,.750,0.5,2.2,2.7,3.2,1.4,0.5,1.5,2.3,5.0
Patty Mills,PG,30,SAS,82,1,23.3,3.4,8.1,.425,1.9,4.9,.394,1.5,3.2,.475,.545,1.1,1.3,.854,0.3,1.9,2.2,3.0,0.6,0.1,1.1,1.6,9.9
Monte Morris,PG,23,DEN,82,6,24.0,4.2,8.6,.493,1.1,2.8,.414,3.1,5.8,.531,.560,0.8,1.0,.802,0.4,1.9,2.4,3.6,0.9,0.0,0.6,1.2,10.4
Emmanuel Mudiay,PG,22,NYK,59,42,27.2,5.6,12.5,.446,1.2,3.6,.329,4.4,9.0,.492,.493,2.4,3.2,.774,0.6,2.8,3.3,3.9,0.7,0.3,2.4,1.7,14.8
Jamal Murray,PG,21,DEN,75,74,32.6,6.8,15.6,.437,2.0,5.5,.367,4.8,10.1,.476,.502,2.5,3.0,.848,0.9,3.4,4.2,4.8,0.9,0.4,2.1,2.0,18.2
Shabazz Napier,PG,27,BRK,56,2,17.6,3.0,7.8,.389,1.4,4.1,.333,1.7,3.7,.449,.476,2.1,2.5,.833,0.3,1.5,1.8,2.6,0.7,0.3,1.2,1.2,9.4
Raul Neto,PG,26,UTA,37,1,12.8,2.0,4.4,.460,0.5,1.6,.333,1.5,2.7,.535,.522,0.8,0.9,.848,0.2,1.5,1.7,2.5,0.4,0.1,0.9,1.3,5.3
Frank Ntilikina,PG,20,NYK,43,16,21.0,2.2,6.6,.337,0.8,2.7,.287,1.4,3.9,.371,.395,0.5,0.7,.767,0.3,1.7,2.0,2.8,0.7,0.3,1.3,2.4,5.7
Elie Okobo,PG,21,PHO,53,16,18.1,2.2,5.5,.393,0.7,2.5,.295,1.4,3.0,.475,.460,0.7,0.9,.787,0.2,1.6,1.8,2.4,0.6,0.1,1.3,2.1,5.7
Tony Parker,PG,36,CHO,56,0,17.9,3.8,8.3,.460,0.2,0.9,.255,3.6,7.4,.485,.474,1.6,2.2,.734,0.3,1.2,1.5,3.7,0.4,0.1,1.3,0.9,9.5
Chris Paul,PG,33,HOU,58,58,32.0,5.2,12.4,.419,2.2,6.1,.358,3.0,6.3,.479,.508,3.0,3.5,.862,0.6,3.9,4.6,8.2,2.0,0.3,2.6,2.5,15.6
Cameron Payne,PG,24,TOT,40,13,17.8,2.4,5.6,.430,0.6,2.1,.298,1.8,3.5,.511,.487,0.8,1.0,.805,0.3,1.5,1.8,2.7,0.7,0.2,1.1,1.6,6.3
Cameron Payne,PG,24,CHI,31,12,17.3,2.2,5.4,.411,0.5,1.9,.271,1.7,3.5,.486,.458,0.7,0.8,.880,0.3,1.4,1.7,2.7,0.6,0.2,1.1,1.6,5.7
Cameron Payne,PG,24,CLE,9,1,19.6,3.0,6.1,.491,1.0,2.8,.360,2.0,3.3,.600,.573,1.2,1.8,.688,0.3,1.8,2.1,2.6,0.9,0.3,1.2,1.7,8.2
Elfrid Payton,PG,24,NOP,42,42,29.8,4.3,9.8,.434,0.8,2.5,.314,3.5,7.3,.476,.475,1.3,1.8,.743,1.2,4.1,5.2,7.6,1.0,0.4,2.7,1.9,10.6
Gary Payton II,PG,26,WAS,3,0,5.3,1.7,2.7,.625,0.3,0.7,.500,1.3,2.0,.667,.688,0.0,0.0,0,0.3,0.3,0.7,1.3,1.0,0.3,0.3,0.7,3.7
Chasson Randle,PG,25,WAS,49,2,15.2,1.9,4.4,.419,0.9,2.3,.400,0.9,2.1,.441,.525,0.9,1.3,.694,0.2,0.9,1.1,2.0,0.5,0.1,0.9,1.9,5.5
Rajon Rondo,PG,32,LAL,46,29,29.8,3.8,9.4,.405,1.1,3.1,.359,2.7,6.3,.428,.464,0.5,0.8,.639,0.7,4.5,5.3,8.0,1.2,0.2,2.8,2.2,9.2
Derrick Rose,PG,30,MIN,51,13,27.3,7.1,14.8,.482,1.1,2.9,.370,6.1,11.9,.509,.518,2.7,3.1,.856,0.6,2.1,2.7,4.3,0.6,0.2,1.6,1.1,18.0
Terry Rozier,PG,24,BOS,79,14,22.7,3.3,8.4,.387,1.5,4.3,.353,1.8,4.2,.422,.477,0.9,1.2,.785,0.4,3.5,3.9,2.9,0.9,0.3,0.9,1.3,9.0
Ricky Rubio,PG,28,UTA,68,67,27.9,4.3,10.7,.404,1.2,3.7,.311,3.2,7.0,.454,.458,2.9,3.4,.855,0.5,3.1,3.6,6.1,1.3,0.1,2.6,2.6,12.7
D'Angelo Russell,PG,22,BRK,81,81,30.2,8.1,18.7,.434,2.9,7.8,.369,5.2,10.9,.482,.512,2.0,2.5,.780,0.7,3.2,3.9,7.0,1.2,0.2,3.1,1.7,21.1
Tomáš Satoranský,PG,27,WAS,80,54,27.1,3.2,6.6,.485,0.8,2.0,.395,2.4,4.6,.524,.545,1.6,2.0,.819,1.0,2.5,3.5,5.0,1.0,0.2,1.5,2.2,8.9
Dennis Schröder,PG,25,OKC,79,14,29.3,5.8,14.0,.414,1.6,4.6,.341,4.2,9.4,.450,.470,2.4,2.9,.819,0.5,3.1,3.6,4.1,0.8,0.2,2.2,2.4,15.5
Collin Sexton,PG,20,CLE,82,72,31.8,6.3,14.7,.430,1.5,3.6,.402,4.9,11.1,.440,.480,2.6,3.1,.839,0.7,2.2,2.9,3.0,0.5,0.1,2.3,2.3,16.7
Ben Simmons,PG,22,PHI,79,79,34.2,6.8,12.2,.563,0.0,0.1,.000,6.8,12.1,.566,.563,3.3,5.4,.600,2.2,6.6,8.8,7.7,1.4,0.8,3.5,2.6,16.9
Kobi Simmons,PG,21,CLE,1,0,2.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dennis Smith Jr.,PG,21,TOT,53,50,28.5,5.2,12.3,.428,1.3,3.9,.322,4.0,8.3,.477,.479,1.9,2.9,.635,0.6,2.3,2.9,4.8,1.3,0.4,2.9,2.4,13.6
Dennis Smith Jr.,PG,21,DAL,32,32,28.4,4.9,11.2,.440,1.3,3.9,.344,3.6,7.3,.491,.500,1.8,2.6,.695,0.6,2.5,3.0,4.3,1.3,0.3,3.1,2.6,12.9
Dennis Smith Jr.,PG,21,NYK,21,18,28.6,5.8,14.0,.413,1.1,4.0,.289,4.6,10.0,.462,.454,2.0,3.5,.568,0.7,2.1,2.8,5.4,1.3,0.4,2.6,2.2,14.7
Ish Smith,PG,30,DET,56,0,22.3,3.7,8.7,.419,0.8,2.4,.326,2.9,6.3,.455,.464,0.8,1.1,.758,0.4,2.2,2.6,3.6,0.5,0.2,1.1,1.9,8.9
Edmond Sumner,PG,23,IND,23,2,9.1,1.0,2.8,.344,0.3,1.2,.259,0.7,1.6,.405,.398,0.7,1.0,.625,0.4,0.7,1.0,0.4,0.5,0.2,0.4,1.1,2.9
Jeff Teague,PG,30,MIN,42,41,30.1,4.2,9.9,.423,0.8,2.5,.333,3.4,7.4,.453,.465,2.9,3.6,.804,0.4,2.1,2.5,8.2,1.0,0.4,2.3,2.1,12.1
Miloš Teodosić,PG,31,LAC,15,0,10.0,1.1,2.7,.425,0.7,1.8,.370,0.5,0.9,.538,.550,0.3,0.5,.571,0.2,0.9,1.1,2.1,0.2,0.1,1.4,1.8,3.2
Evan Turner,PG,30,POR,73,2,22.0,2.8,6.1,.460,0.2,0.7,.212,2.6,5.4,.494,.473,1.0,1.5,.708,0.5,4.0,4.5,3.9,0.5,0.2,1.6,1.5,6.8
Tyler Ulis,PG,23,CHI,1,0,1.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fred VanVleet,PG,24,TOR,64,28,27.5,3.8,9.4,.410,1.8,4.6,.378,2.1,4.8,.441,.503,1.5,1.8,.843,0.3,2.3,2.6,4.8,0.9,0.3,1.3,1.7,11.0
Kemba Walker,PG,28,CHO,82,82,34.9,8.9,20.5,.434,3.2,8.9,.356,5.7,11.6,.494,.511,4.6,5.5,.844,0.6,3.8,4.4,5.9,1.2,0.4,2.6,1.6,25.6
John Wall,PG,28,WAS,32,32,34.5,7.7,17.3,.444,1.6,5.3,.302,6.1,12.0,.507,.490,3.8,5.5,.697,0.5,3.2,3.6,8.7,1.5,0.9,3.8,2.2,20.7
Tyrone Wallace,PG,24,LAC,62,0,10.1,1.5,3.5,.424,0.1,0.3,.211,1.4,3.2,.444,.433,0.5,0.9,.526,0.3,1.3,1.6,0.7,0.3,0.1,0.6,1.3,3.5
Brad Wanamaker,PG,29,BOS,36,0,9.5,1.4,2.9,.476,0.4,1.1,.410,0.9,1.8,.515,.552,0.7,0.8,.857,0.1,1.1,1.1,1.6,0.3,0.1,0.5,0.9,3.9
Russell Westbrook,PG,30,OKC,73,73,36.0,8.6,20.2,.428,1.6,5.6,.290,7.0,14.5,.481,.468,4.1,6.2,.656,1.5,9.6,11.1,10.7,1.9,0.5,4.5,3.4,22.9
Derrick White,PG,24,SAS,67,55,25.8,3.9,8.1,.479,0.7,2.1,.338,3.2,6.0,.529,.523,1.4,1.8,.772,0.5,3.2,3.7,3.9,1.0,0.7,1.4,2.2,9.9
Delon Wright,PG,26,TOT,75,13,22.7,3.2,7.4,.434,0.7,2.2,.298,2.6,5.2,.492,.478,1.6,2.0,.793,0.9,2.6,3.5,3.3,1.2,0.4,1.0,1.4,8.7
Delon Wright,PG,26,TOR,49,2,18.3,2.6,6.0,.433,0.6,1.8,.333,2.0,4.1,.478,.485,1.1,1.2,.869,0.8,1.8,2.6,2.2,0.9,0.3,0.8,1.1,6.9
Delon Wright,PG,26,MEM,26,11,30.8,4.4,10.2,.434,0.8,3.0,.256,3.7,7.2,.508,.472,2.5,3.4,.742,1.1,4.3,5.4,5.3,1.6,0.6,1.5,1.9,12.2
Trae Young,PG,20,ATL,81,81,30.9,6.5,15.5,.418,1.9,6.0,.324,4.6,9.6,.477,.480,4.2,5.1,.829,0.8,2.9,3.7,8.1,0.9,0.2,3.8,1.7,19.1
